"SourceFile","SourceLine","AttachmentKind","Helper","BoundFunctionExpression","DescriptorExpression","Linkage","SymbolExpression","Symbol","IncludeExpression","Include","OwningModuleExpression","OwningModule","Association"
"Binds/Bind_CoreGlobals.cpp","79","reviewed-helper","AttachReviewedHeaderInlineScalarCall","IsRunningCommandletFunction","","HeaderInline","TEXT(""IsRunningCommandlet"")","IsRunningCommandlet","TEXT(""CoreGlobals.h"")","CoreGlobals.h","TEXT(""Core"")","Core","bound-function-variable"
"Binds/Bind_Logging.cpp","211","direct-attachment","","PrintFunction","PrintDescriptor","ExportedRuntimeCallable","TEXT(""AngelscriptStaticJITNativeCallables::Print"")","AngelscriptStaticJITNativeCallables::Print","TEXT( ""StaticJIT/NativeCalls/AngelscriptStaticJITNativeCallables.h"")","StaticJIT/NativeCalls/AngelscriptStaticJITNativeCallables.h","FName(TEXT(""AngelscriptRuntime""))","AngelscriptRuntime","bound-function-variable"
