"SourceFile","SourceLine","Provider","ProviderVariable","ProviderBindNameExpression","ProviderSourceLine","ProviderAttribution","RegistrationApi","BoundFunctionVariable","ArgumentCount","DeclarationExpression","LiteralDeclaration","CppTargetExpression","FluentTraits","HasNativeForm","NativeFormSource","EffectiveNativeFormMethods","EffectiveNativeCallableDisplays","NativeFormMethods","NativeFormArgumentCounts","NativeCallableDisplayExpressions","NativeCallableLiteralDisplays","NativeHeaderExpressions","NativeLiteralHeaders","ImplicitNativeFormMacro","ImplicitNativeFormMethod","ImplicitNativeCallableDisplay","ImplicitNativeTrivial","HasExternalDescriptor","ExternalDescriptorSource","ExternalDescriptorSourceLines","ExternalDescriptorHelpers","ExternalDescriptorLinkages","ExternalDescriptorSymbols","ExternalDescriptorIncludes","ExternalDescriptorOwningModules","HasCompileOut","CompileOutMethods","SourceEvidenceDisposition","SourceEvidenceReason","RequiredInstalledAuthority","JoinStatus"
"Binds/Bind_AActor.cpp","141","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void GetComponentsByClass(UClass ComponentClass, ?& OutComponents) const""","void GetComponentsByClass(UClass ComponentClass, ?& OutComponents) const","&FAngelscriptActorBinds::GetComponentsByClassWithExplicitClass",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","144","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""APawn GetInstigator() const""","APawn GetInstigator() const","&FAngelscriptActorBinds::GetInstigator",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","145","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""AController GetInstigatorController() const""","AController GetInstigatorController() const","&FAngelscriptActorBinds::GetInstigatorController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","148","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""UInputComponent GetInputComponent() const""","UInputComponent GetInputComponent() const","&FAngelscriptActorBinds::GetInputComponent",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","149","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void EnableInput(APlayerController PlayerController)""","void EnableInput(APlayerController PlayerController)","&FAngelscriptActorBinds::EnableInput",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","150","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void DisableInput(APlayerController PlayerController)""","void DisableInput(APlayerController PlayerController)","&FAngelscriptActorBinds::DisableInput",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","151","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""void SetReplicates(bool bInReplicates)""","void SetReplicates(bool bInReplicates)","&AActor::SetReplicates",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","153","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""void GetAllActorsOfClass(?& OutActors)""","void GetAllActorsOfClass(?& OutActors)","&FAngelscriptActorBinds::GetAllActorsOfClass",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","156","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""void GetAllActorsOfClass(UClass Class, ?& OutActors)""","void GetAllActorsOfClass(UClass Class, ?& OutActors)","&FAngelscriptActorBinds::GetAllActorsOfClassWithExplicitClass",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","159","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""void GetAllActorsOfClassWithTag(FName TagName, ?& OutActors)""","void GetAllActorsOfClassWithTag(FName TagName, ?& OutActors)","&FAngelscriptActorBinds::GetAllActorsOfClassWithTag",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","163","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""AActor SpawnActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)""","AActor SpawnActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)","FUNC(FAngelscriptActorBinds::SpawnActorWithParameters)",".DeterminesOutputType(0);","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnActorWithParameters","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnActorWithParameters","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","167","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""AActor SpawnActor(const TSubclassOf<AActor>& Class, const FVector& Location = FVector::ZeroVector, const FRotator& Rotation = FRotator::ZeroRotator, const FName& Name = NAME_None, bool bDeferredSpawn = false, ULevel Level = nullptr)""","AActor SpawnActor(const TSubclassOf<AActor>& Class, const FVector& Location = FVector::ZeroVector, const FRotator& Rotation = FRotator::ZeroRotator, const FName& Name = NAME_None, bool bDeferredSpawn = false, ULevel Level = nullptr)","FUNC(FAngelscriptActorBinds::SpawnActor)",".DeterminesOutputType(0);","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnActor","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnActor","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","171","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""void FinishSpawningActor(AActor Actor)""","void FinishSpawningActor(AActor Actor)","FUNC(FAngelscriptActorBinds::FinishSpawningActor)",";","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::FinishSpawningActor","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::FinishSpawningActor","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
