"StableId","OwnerStableId","Namespace","CallableKind","CanonicalDeclaration","RegisteredName","Behavior","ReturnType","ParameterCount","ParameterTypes","HasDefaultArguments","HasReferenceArguments","HasHandleArguments","Availability","UEFunctionPath","Origin","OriginModule","OriginPlugin","CppCallableDisplay","NativeFormKind","ExternalLinkage","ExpectedAbi","Disposition","ReviewStatus"
"020008063c7349d0ed652fd985099ccf8c547b20d42e33b34dab1941e80ac68f","1c63e38631f9e24b16de7e6806982018e3b614f211572565ce2702db73d16f97","","method","bool CanExecute(const FToolMenuContext&inout Context) const","CanExecute","","bool","1","FToolMenuContext","False","True","False","available","/Script/ToolMenus.ToolMenuEntryScript:CanExecute","manual","ToolMenus","","","","","","unclassified","pending-native-form-source-join"
"0237b2412d11fa7c8b682b4fe0bef403701fbc8af6f55cebde843f848ac44f85","25476ae48137cafccca9adc65f6f8ceaa43556d67e751a64c06db06b699f5a96","","method","void OnEntryReleased()","OnEntryReleased","","void","0","","False","False","False","available","/Script/UMG.UserListEntry:BP_OnEntryReleased","manual","UMG","","","","","","unclassified","pending-native-form-source-join"
"023811a7dead5d924476a096d97aa8b7f916f6374173277b3b782a0b76480957","e54395c8e8514953dfbf3fbeabf065860f6a71585f8f76b50ad0927920f7fcb1","","method","void SetTexture(UTexture InTexture)","SetTexture","","void","1","UTexture","False","False","True","available","/Script/Engine.StereoLayerComponent:SetTexture","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"0276d710f64ae630b78165ab0c25d394b048663590d8afa73f0d5b84ddc3c2eb","bf3903cbca18b0ef0db7f73b96343bf92fa98c3d9c680e1243c4009d3c3a936a","","method","void Init()","Init","","void","0","","False","False","False","available","/Script/Engine.GameInstance:ReceiveInit","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"02819b4b208caa762f6968170e30d326027a96a34147879829da39e60e68e3cc","","FTransform","global-function","FTransform MakeFromYX(const FVector&inout YAxis, const FVector&inout XAxis)","MakeFromYX","","FTransform","2","FVector;FVector","False","True","False","available","/Script/AngelscriptRuntime.AngelscriptFTransformLibrary:MakeFromYX","manual","AngelscriptRuntime","Angelscript","","","","","unclassified","pending-native-form-source-join"
"028af0372abd8fe725e96ca8589ab8f3d6f1a63d7e2f2873301fc50fdc164ed8","8408ed834089f0d30abf8476c0078c8637280efdb97766920767c790ba00fc66","","method","void AppendTagsToInputMode(const FGameplayTagContainer&inout TagsToAdd, const FModifyContextOptions&inout Options)","AppendTagsToInputMode","","void","2","FGameplayTagContainer;FModifyContextOptions","False","True","False","available","/Script/EnhancedInput.EnhancedInputSubsystemInterface:AppendTagsToInputMode","manual","EnhancedInput","EnhancedInput","","","","","unclassified","pending-native-form-source-join"
"02bb52a9c62774373c860c528b78c9ce7361dabd7eb46704c89d65c55b0c04db","","WidgetLibrary","global-function","FEventReply LockMouse(FEventReply&inout Reply, UWidget CapturingWidget)","LockMouse","","FEventReply","2","FEventReply;UWidget","False","True","True","available","/Script/UMG.WidgetBlueprintLibrary:LockMouse","manual","UMG","","","","","","unclassified","pending-native-form-source-join"
"02ff93ecd37285386f33460258c2c980684997e6ce966960754af8f302ad55c7","95c5bd2590e7410565721b207a1d17bc6be9388f92234c7eba4b0ba57a3a44b1","","method","bool SetCurveFlags(const FAnimationCurveIdentifier&inout CurveId, int Flags, bool bShouldTransact)","SetCurveFlags","","bool","3","FAnimationCurveIdentifier;int;bool","False","True","False","available","/Script/Engine.AnimationDataController:SetCurveFlags","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"030fb3dac4a7149e6644b533a7e645b0b3189b8355460ba2abfb805f3d8d3053","a048e09fab5b35c796657bb67d416dd5c79c96ad1914c69990329d6bc1e2dc7a","","method","void ClientStopForceFeedback(UForceFeedbackEffect ForceFeedbackEffect, FName Tag)","ClientStopForceFeedback","","void","2","UForceFeedbackEffect;FName","False","False","True","available","/Script/Engine.PlayerController:ClientStopForceFeedback","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"03290823b6d72cc0d2ee4571d1d99d90132e183eee3fdc6524f663a00de23b21","95c5bd2590e7410565721b207a1d17bc6be9388f92234c7eba4b0ba57a3a44b1","","method","void ResizePlayLength(float32 NewLength, float32 T0, float32 T1, bool bShouldTransact)","ResizePlayLength","","void","4","float32;float32;float32;bool","False","False","False","deprecated","/Script/Engine.AnimationDataController:ResizePlayLength","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
